Date,Close,Volume,Open,High,Low,stock
12/28/2018,$186.16 ,4830229,$189.71 ,$190.10 ,$184.18 ,MA
12/27/2018,$188.69 ,4694177,$183.98 ,$188.70 ,$180.16 ,MA
12/26/2018,$186.43 ,5258380,$176 ,$186.50 ,$176 ,MA
12/24/2018,$174.65 ,4351915,$173.15 ,$177.98 ,$171.89 ,MA
12/21/2018,$175.19 ,8361655,$181.20 ,$185.27 ,$175 ,MA
12/20/2018,$182.71 ,6562531,$185.60 ,$188.34 ,$180.23 ,MA
12/19/2018,$187.12 ,6099587,$190.93 ,$194.35 ,$184.76 ,MA
12/18/2018,$191.61 ,4276077,$192.06 ,$194.35 ,$190.10 ,MA
12/17/2018,$190.45 ,5459223,$193.50 ,$193.54 ,$188.77 ,MA
12/14/2018,$195.33 ,3787629,$196.60 ,$197.24 ,$193.19 ,MA
12/13/2018,$198.96 ,5203528,$200.80 ,$202.20 ,$195.31 ,MA
12/12/2018,$200.29 ,5158635,$200.46 ,$205.96 ,$200.26 ,MA
12/11/2018,$197.74 ,3529950,$201.08 ,$201.40 ,$196.06 ,MA
12/10/2018,$198.06 ,4100896,$194.65 ,$198.72 ,$193.00 ,MA
12/7/2018,$196.50 ,4958602,$203.78 ,$206.52 ,$194.90 ,MA
12/6/2018,$202.99 ,6459033,$194.80 ,$203.37 ,$194.22 ,MA
12/4/2018,$200.49 ,6595755,$207.39 ,$209.52 ,$199.62 ,MA
12/3/2018,$209.86 ,6514297,$206.01 ,$209.91 ,$205.94 ,MA
11/30/2018,$201.07 ,7942944,$196.59 ,$201.67 ,$195.80 ,MA
11/29/2018,$196.66 ,5445427,$202.05 ,$202.05 ,$196.31 ,MA
11/28/2018,$202.28 ,6190663,$195 ,$202.47 ,$193.27 ,MA
11/27/2018,$192.98 ,3976015,$190.75 ,$193.04 ,$189.45 ,MA
11/26/2018,$191.85 ,6688118,$185.58 ,$192.23 ,$183.68 ,MA
11/23/2018,$182.60 ,2601000,$184.88 ,$186.23 ,$182.26 ,MA
11/21/2018,$187.66 ,3948988,$188.54 ,$190.09 ,$186.24 ,MA
11/20/2018,$187.06 ,7891592,$181.98 ,$188.80 ,$177.40 ,MA
11/19/2018,$189.28 ,4486339,$199.04 ,$199.40 ,$188.55 ,MA
11/16/2018,$199.04 ,2939519,$199 ,$200.91 ,$197.45 ,MA
11/15/2018,$200.71 ,3422896,$197.02 ,$201.15 ,$194.33 ,MA
11/14/2018,$197.58 ,3218561,$200.56 ,$202.23 ,$195.61 ,MA
11/13/2018,$198.17 ,2832116,$199.78 ,$202.25 ,$197.55 ,MA
11/12/2018,$199.14 ,3503601,$204.62 ,$205.25 ,$198.73 ,MA
11/9/2018,$205.62 ,3229620,$207.38 ,$207.98 ,$203.42 ,MA
11/8/2018,$208.86 ,3911153,$207.36 ,$208.86 ,$206 ,MA
11/7/2018,$208.24 ,4921592,$202.19 ,$208.38 ,$201.74 ,MA
11/6/2018,$199.15 ,2915928,$198.50 ,$200.67 ,$197.53 ,MA
11/5/2018,$197.98 ,3110246,$198.20 ,$199.13 ,$194.29 ,MA
11/2/2018,$197.72 ,4261466,$198.92 ,$200.99 ,$195.25 ,MA
11/1/2018,$199.71 ,4434501,$198.89 ,$200 ,$195.01 ,MA
10/31/2018,$197.67 ,7682761,$193.25 ,$199.96 ,$193.25 ,MA
10/30/2018,$187.73 ,9235217,$192.58 ,$193.63 ,$183.75 ,MA
10/29/2018,$191.04 ,6618177,$200.35 ,$202.34 ,$187.63 ,MA
10/26/2018,$197.49 ,6522723,$199.20 ,$202.41 ,$195.73 ,MA
10/25/2018,$204.20 ,4931617,$197 ,$205.10 ,$195.71 ,MA
10/24/2018,$195.69 ,4413571,$202.64 ,$203.47 ,$195.38 ,MA
10/23/2018,$202.43 ,4900452,$199.49 ,$203.73 ,$196.60 ,MA
10/22/2018,$204.50 ,4020853,$203.72 ,$206.26 ,$201.88 ,MA
10/19/2018,$203.06 ,4810036,$203.87 ,$207.44 ,$203 ,MA
10/18/2018,$203.62 ,6262883,$206.97 ,$207.22 ,$202.26 ,MA
10/17/2018,$207.38 ,4254863,$207.63 ,$208 ,$204.69 ,MA
10/16/2018,$207.78 ,4692435,$202.68 ,$208.12 ,$202.53 ,MA
10/15/2018,$200.32 ,3968232,$203.72 ,$203.80 ,$199.53 ,MA
10/12/2018,$204.22 ,6153940,$200.57 ,$204.84 ,$199.54 ,MA
10/11/2018,$194.51 ,9180099,$194.65 ,$199.73 ,$192.91 ,MA
10/10/2018,$196.69 ,8215435,$209.33 ,$209.33 ,$196.01 ,MA
10/9/2018,$209.76 ,5652157,$208.06 ,$210.99 ,$206.69 ,MA
10/8/2018,$208.26 ,5609849,$211.70 ,$211.80 ,$203.25 ,MA
10/5/2018,$213.26 ,4267597,$216.45 ,$217.19 ,$211.85 ,MA
10/4/2018,$216.15 ,5664293,$222.07 ,$222.15 ,$214.59 ,MA
10/3/2018,$223.13 ,2657185,$223.78 ,$224.33 ,$222.55 ,MA
10/2/2018,$222.37 ,3060715,$223.50 ,$223.73 ,$221.01 ,MA
