Date,Close,Volume,Open,High,Low,stock
12/14/2012,$249.19 ,2526888,$250.11 ,$251.90 ,$247.79 ,AMZN
12/13/2012,$251.25 ,2458812,$251.11 ,$254.54 ,$250.02 ,AMZN
12/12/2012,$251.76 ,2627923,$251.07 ,$254.36 ,$250.06 ,AMZN
12/11/2012,$250.69 ,4184143,$248.50 ,$253.48 ,$246.65 ,AMZN
12/10/2012,$247.77 ,3502674,$253.10 ,$254.78 ,$247.30 ,AMZN
12/7/2012,$253.27 ,2168034,$254.14 ,$255.21 ,$252.01 ,AMZN
12/6/2012,$253.37 ,3557422,$253 ,$255.17 ,$251.51 ,AMZN
12/5/2012,$253.96 ,2850124,$252.44 ,$255.55 ,$250.38 ,AMZN
12/4/2012,$252.49 ,3106174,$249.94 ,$253 ,$248.66 ,AMZN
12/3/2012,$250.33 ,2986413,$252.54 ,$254.16 ,$250 ,AMZN
11/30/2012,$252.05 ,3797316,$250.38 ,$252.65 ,$248.27 ,AMZN
11/29/2012,$251.27 ,5302207,$248.05 ,$252.48 ,$247.50 ,AMZN
11/28/2012,$247.11 ,2743396,$242.45 ,$247.23 ,$241.50 ,AMZN
11/27/2012,$243.40 ,3048476,$243.22 ,$245.67 ,$241.54 ,AMZN
11/26/2012,$243.62 ,4170560,$240.39 ,$244.32 ,$238 ,AMZN
11/23/2012,$239.88 ,1776744,$239.89 ,$240 ,$236.48 ,AMZN
11/21/2012,$238.03 ,2956963,$233.84 ,$238.67 ,$232.75 ,AMZN
11/20/2012,$233.78 ,2770601,$230 ,$233.82 ,$229.50 ,AMZN
11/19/2012,$229.71 ,3590226,$228.32 ,$232.50 ,$227.45 ,AMZN
11/16/2012,$225.23 ,4352150,$221.31 ,$226.25 ,$218.64 ,AMZN
11/15/2012,$220.60 ,3404272,$222.30 ,$225.16 ,$218.18 ,AMZN
11/14/2012,$222.95 ,3033730,$226.50 ,$227.41 ,$222.51 ,AMZN
11/13/2012,$226.60 ,2629032,$225.12 ,$227.90 ,$224.71 ,AMZN
11/12/2012,$226.47 ,2128605,$226.59 ,$229.22 ,$225.41 ,AMZN
11/9/2012,$226.31 ,3091957,$226.26 ,$230.97 ,$224.60 ,AMZN
11/8/2012,$227.35 ,2981067,$232.22 ,$233.45 ,$227.10 ,AMZN
11/7/2012,$232.06 ,3624145,$235.65 ,$235.66 ,$229.42 ,AMZN
11/6/2012,$237.56 ,2661279,$235.41 ,$237.75 ,$234.45 ,AMZN
